Ascoli Satriano	IAA	16	41.219859	15.547828
Asola	ALS	1	45.220454	10.402313
Assemini	ANM	20	39.287603	8.997936
Assisi	ASI	6	43.058921	12.585304
Asso	SAS	1	45.855228	9.268513
Asti	TAS	3	44.89479	8.208112
Atena	NAT	18	40.456676	15.536094
Attigliano	ANL	6	42.518054	12.294761
Augusta	ATU	14	37.24334	15.218628
Auletta	ATL	18	40.534934	15.426706
Aulla	ALU	13	44.209662	9.970632
Aulla Lunigiana	AAG	13	44.210555	9.970015
Aurisina	ANU	10	45.753943	13.687706
Avellino	AVN	18	40.921612	14.820586
Aversa	ASV	18	40.973323	14.218578
Avezzano	NAV	19	42.039495	13.426446
Aviano	NVA	10	46.064362	12.590686
Avigliana	VAN	3	45.085276	7.401096
Avigliano Lucania	AOU	15	40.714667	15.785619
Avio	AIV	9	45.733892	10.955842
Avise	SAV	4	45.706296	7.131285
Avola	ALV	14	36.907434	15.125733
Bari Centrale	BIC	16	41.11774	16.869601
Bologna Centrale	BAC	8	44.50626	11.342267
Badia Polesine	BAP	12	45.094439	11.484722
Badolato	BTO	17	38.572268	16.567646
Bagheria	BIA	14	38.089905	13.507215
Bagnacavallo	BLO	8	44.412138	11.969398
Bagnara	BRA	17	38.282695	15.800327
Bagnaria Arsa	BAA	10	45.885513	13.282026
Bagnasco	BCO	3	44.303264	8.046132
Bagni Di Lucca	BDL	13	44.003447	10.551631
Bagni Di Tivoli	BDT	5	41.949593	12.722208
Bagnoli Agnano Terme	BAT	18	40.819444	14.166694
Bagnoli Irpino	BII	18	40.83917	15.06324
Bagnolo Mella	BOM	1	45.428532	10.183617
Baiano Di Spoleto	BDS	6	42.726238	12.663615
Baldichieri	BRI	3	44.899204	8.091198
Balestrate	BTE	14	38.053364	13.007374
Balsorano	BNO	19	41.809427	13.556546
Balvano R.	BOR	15	40.649993	15.495304
Balzola	BLA	3	45.173985	8.402174
Bandito	BTT	3	44.722075	7.819452
Baragiano	BNN	15	40.695213	15.569206
Baranello	BLL	7	41.5176	14.596314
Barbianello	BLE	1	45.07263	9.204165
Barbiano	BNA	8	44.387263	11.878086
Barbusi	BSI	20	39.203024	8.501702
Barcellona	BNL	14	38.14918	15.212499
Bardonecchia	BIH	3	45.076447	6.709959
Barga Gallicano	BAG	13	44.068114	10.451938
Bari Palese Macchie	BPM	16	41.151583	16.766902
Bari Parco Nord	BPN	16	41.123916	16.837018
Bari Parco Sud	BPS	16	41.111822	16.914736
Bari S. Spirito	BSS	16	41.159653	16.746324
Bari S.Andrea	BSA	16	41.105467	16.830255
Bari S.Giorgio	BSG	16	41.093779	16.950084
Bari Torre A Mare	BTA	16	41.082637	16.995772
Baricetta	BTC	12	45.060889	11.995348
Barile	BLI	15	40.943044	15.670959
Barletta	BTL	16	41.315227	16.278867
Baronissi	BSN	18	40.743779	14.77224
Baschi-Montecchio	BIM	6	42.68685	12.203496
Basiliano	BNI	10	46.012737	13.109233
Bassano Del Grappa	BDG	12	45.766697	11.741525
Bassano In Teverina	BIT	6	42.483551	12.333556
Bassano Romano	BOO	5	42.212444	12.152302
Bastia	BIS	6	43.07133	12.547735
Bastia Mondovi`	BAM	3	44.439398	7.891671
Battaglia Terme	BAE	12	45.291475	11.77838
Battipaglia	BIL	18	40.605789	14.98324
Bauladu Milis	BUM	20	40.020722	8.687123
Baveno	BNE	3	45.909105	8.502121
Bazzana	BNZ	3	44.777094	8.401557
Beaulard	BRD	3	45.046495	6.759713
Beffi	BFI	19	42.197341	13.660759
Beinette	BTN	3	44.36782	7.644884
Belgioioso	BSO	1	45.16456	9.316875
Belgirate	BTR	3	45.843337	8.570821
Bella Muro	BAO	15	40.700914	15.542936
Bellano Tartavelle Terme	BTM	1	46.039448	9.302776
Bellante Ripattone	BER	19	42.705775	13.837978
Bellaria	BIR	8	44.150249	12.461168
Bellavista	BTS	16	40.517077	17.176892
Bellinzago	BGO	3	45.566681	8.627652
Bellisio Solfare	BOS	11	43.520379	12.823977
Belluno	BNU	12	46.141594	12.209703
Belmonte Calabro	BEC	17	39.164427	16.064515
Belvedere Marittimo	BEM	17	39.616549	15.853039
Benevento	BTV	18	41.141901	14.769998
Benevento Arco Traiano	BAN	18	41.136834	14.777662
Benevento Porta Rufina	BPR	18	41.123564	14.784315
Berceto	BET	8	44.555912	9.931759
Berchidda	BDA	20	40.772052	9.181312
Bergamasco	BCC	3	44.819891	8.461447
Bergamo	BMO	1	45.690271	9.675082
Bernalda	BDD	15	40.397616	16.682281
Besana	BNS	1	45.702824	9.28288
Besnate	TBE	1	45.695409	8.761072
Besozzo	BZO	1	45.842188	8.662997
Beura Cardezza	BAZ	3	46.068341	8.289627
Bevera	BRR	2	43.825303	7.579157
Bevilacqua	BUA	12	45.230145	11.398643
